Station	Lat	Lon	NO2	PO4	NO2NO3	Si	pH	CO2	HCO3	CO3	tcarb	tAlka	chlc3	chlc12	chda	peri	phaeophorba	butan	fuco	neox	prasino	violax	hexano	diadino	allox	diatox	zeax	lutein	bactChla	dvnylChlb	Chlb	chlbtot	dvnylChla	Chla_hplc	chlatot	phaeopha	carot	micro	nano	pico	seaiceconc	moonphase	PAR	Fe	NH4	ssCDOM	chla_ss	chla_int	NPP_arctic	NPP_vgpm	POC	PIC	Okubo	Lyapunov	ResTime	Kd490	acDOM	KdPAR	Zeu	Zmld	Tzeu	Szeu	Chl10m	O2_10m	NO3_10m	flux200m	flux500m	flux1000m	Slopepartsurf	Slopepart200m
12	43.34895932	7.895157627					8.160344	12.056182	0.00585	0.043125	0.02125	0.00985	0.010075	0.024075	0.00095	0.0167	0.00585	0.043125	0.02125	0.00985	0.00225	0.001375	0.135775	0.0087	0.0022	0.0012	0.02475	0.00155	0.0008	0	0.018225	0.018225	0	0.2646	0.2646	0.00165	0.01265	18.97165305	66.95556369	14.07278326	0	0.49	28.660219	0.001387764	0.009879381		0.135648683				48.42629624	8.94496E-05	-1.073011	0.056309	26.416667	0.040296	0.018915596	0.095721509	76.64807511	21	13.931	38.4715		207.5266		0.192964036	0.159760741	0.134807106	-3.199918455	-3.312324195
13																																																																						
14	39.8974608	12.8745144	0.0005875	0.02005	0.0490625	1.0972375			0	0.0065	0.0027	0.0007	0.002825	0.00535	0	0.002475	0	0.0065	0.0027	0.0007	0	0.0005	0.019775	0.002575	0.00025	0	0.024525	0	0.00055	0	0.005625	0.005625	0	0.092625	0.092625	0	0.005175	11.84369103	44.70022521	43.45608375	0	0.06	18.730607	0.001387853	0.009944823		0.115833419	18.1147			42.73591169	0.000184414	0.178376	0.112674	0		0.013027485	0.075341174	80.9420166	37	16.8195	38.3546	0.11	210.8655		0.661887359	0.938196807		-2.931993092	-2.759640551
15	39.97969167	13.83851111	0.0419	0.0473	0.25675	1.07555																																			0	0.5	27.126958	0.001387889	0.008718667		0.134908999	43.4666			53.34174652	0.000197455	-0.093545		6.527778	0.0419805	0.017961964	0.078425032	76.91839473	28	14.6599	37.9575	0.5283	246.0837						
16	37.42749524	15.45945397	0.01445	0.02835	0.08225	0.6881			0	0.01015	0.005075	0.0005	0.0068	0.0077	0	0.00165	0	0.01015	0.005075	0.0005	0	0.0005	0.0228	0.0034	0.00025	0	0.02465	0	0.00055	0	0.0072	0.0072	0.00055	0.10115	0.1017	0	0.0067	13.42871406	46.25080104	40.32048491	0	0.64	26.58090375	0.001387897	0.004815927		0.162917635	19.6254			54.50205966	0.000221803	-0.010883		3.888889	0.040575333	0.018799592	0.086471946	71.49381332	33.33333333	15.9681	38.47693333	0.083094667	208.5915333		1.159606852	1.158808625		-3.16415674	-2.97518772
17	36.26360417	14.30499167																																							0	0.73	30.841688	0.001387889	0.008986401		0.112748344	18.3267			44.17111905	0.000116664	-0.5862	0.048917	5.416667	0.036926	0.015143603	0.074451827	80.86283493	27	19.7714	37.943	0.065276	213.6151		0.294479944			-3.131738194	-3.412630514
18	35.75501595	14.27050123	0.0398	0.01935	0.15025	0.575683333			0	0.02375	0.009625	0.0011	0.005825	0.009125	0	0.002925	0	0.02375	0.009625	0.0011	0	0.0012	0.04205	0.006475	0.0005	0.000825	0.055175	0	0.0011	0	0.00615	0.00615	0.034725	0.139275	0.174	0	0.010375	13.26762813	46.49799248	40.23437939	0	1	25.17139975	0.001387895	0.009119561		0.09893885	16.005		315.859	43.97170289	9.19808E-05	-0.124391	0.066158	15.222222	0.0307105	0.015010972	0.075488192	85.11611023	41	19.8787	38.0609	0.053967	208.2023						
19	34.26506889	14.00244667																																							0	0.25	27.9164025	0.00138799	0.008620988		0.091964487	60.844725			38.4113996	0.000129717	0.029228	0.0830065	1.5555555	0.0335975	0.012408371	0.069919545	86.15046597	58.5	20.76445	38.4815	0.30204	234.8055						
20	34.95317603	15.34029752																																							0	0.11	26.108534	0.001387971	0.00661941		0.09369269	31.91485			40.30224196	0.000138374	0.5702145	0.1358625	0.6666665	0.032037333	0.011325468	0.066281974	91.12576548	64.5	21.42155	38.5921	0.194915	235.3345						
21	38.00606702	17.30435532	0.003575	0.000575	0.131	0.8355			0	0.034	0.0167	0.00165	0.02705	0.02355	0	0.00515	0	0.034	0.0167	0.00165	0.0008	0.0024	0.10315	0.01245	0.0017	0.00055	0.05595	0	0.00225	0	0.01805	0.01805	0	0.2957	0.2957	0	0.01795	12.77955338	59.69909966	27.52134696	0	0.01	22.91148433	0.001388002	0.003092495	4.11862	0.204292191	17.5055		654.913	59.50739937	0.00010496	0.571626	0.092095	0	0.041536333	0.016045107	0.083015939	79.88412857	56.5	20.46625	38.51825	0.13172	224.3758		0.223953763	0.188980853		-3.467869308	-3.39144948
22	39.97261215	17.43837477	0.031225	0.012008333	0.26775	1.936216667			0.00675	0.04785	0.05435	0.00305	0.04325	0.04515	0.0018	0.0095	0.00675	0.04785	0.05435	0.00305	0.00505	0.0028	0.14465	0.01645	0.0052	0.00025	0.06115	0	0.00305	0	0.02775	0.02775	0	0.52025	0.52025	0.00415	0.0275	24.05776847	54.39957458	21.54265695	0	0.015	20.25149025	0.001387958	0.001611836	4.11862	0.417381659	17.8637		561.666	77.65626526	0.000289168	-0.1502575	0.039292	1.7916665	0.062003	0.044943824	0.122485159	51.02861309	13.5	17.2749	38.2534	0.241895	224.74775		1.560010314	1.351660365		-3.410890777	-3.447640057
23	42.20785349	17.74146279	0.01225	0.012833333	0.426916667	1.401875																																			0	0.115	16.470955	0.001387852	0.001467169		0.340049938	16.70305		468.419	107.9821854	0.000250634	-0.354776	0.039292	2.4166665	0.06248	0.032153643	0.115394124	56.3404026	12.33333333	16.29576667	38.29213333	0.17378	221.8715667		3.368323553			-2.618914799	-2.570663729
24	41.65936104	18.31637143																																							0	0.285	18.03043667	0.001387889	0.001914867		0.325823717	13.88215		420.545	94.47095998	0.000220143	0.369749	0	0.625	0.07586	0.050458368	0.117662753	48.57429695	12.33333333	16.37066667	38.37356667	0.12965	221.7655667		1.597479333			-3.704023927	-3.361779429
25	39.3059194	19.46324224	0.01975	0.0395	0.701875	1.418125	8.12789	12.038528																																	0	0.483333333	19.4737988	0.001387956	0.002534018		0.216995382	14.228225		420.545	67.44083956	9.56419E-05	0.369749	0	0	0.065140667	0.046995339	0.118543168	56.57326126	20	16.69953333	38.45206667	0.135176667	218.4669		0.334140238	0.320518231		-3.425095928	-3.32767402
26	37.14547368	23.46326711	0.00875	0.00925	0.06725	1.018875	8.1191495	12.148291																																	0	0.79	20.91916325	0.001387959	0.002741388		0.183951559	15.218675			59.38225377	0.000112326		0	0	0.0505494	0.031753799	0.102290326	63.9629715	39.5	17.910225	38.5214	0.128865	215.263975		0.142656635			-3.739318235	-3.865504981
27	33.99125714	32.90205714					8.105355	11.501216																																	0	0.93	19.71709133	0.001388064	0.003801345		0.079432249	14.5225			35.80528259	0.00015411	-0.356175	0.101637	10.027778											0.084847548	0.069103343		-3.317862078	-3.412416165
28	34.07775294	33.034					8.105355	11.501216																																	0	0.895	16.372464	0.001388053	0.003637297		0.065944848	12.28846667			37.1862615	0.000190255	0.170989	0.080827	1.027778		0.009921318	0.066641284	97.35184858	68	21.3419	39.6608	0.067441	207.4429	1.792	0.086103872	0.076316629		-3.433376184	-3.514464183
29																																																																		1.461939536	1.135386978		-3.075154984	-2.999008684
30	33.29741521	33.03039171	0.00375	0.000625	0.222625	0.812			0	0.01665	0.00465	0	0.01525	0.01735	0	0.00055	0	0.01665	0.00465	0	0	0	0.0466	0.0046	0	0	0.04155	0	0.001	0	0.0326	0.0326	0.076	0.15425	0.23025	0	0.0206	5.19998156	46.10586487	48.69415357	0	0.15	19.87660075	0.001387635	0.007246069	2.20208	0.09149066	16.30535		306.2666667	41.98608971	0.00014266	-0.073464	0.062699	1.986111		0.012546655	0.073512455	95.35381699	34	20.1803	39.5638	0.091086	207.5292	-0.44603	0.063408374	0.031758383		-3.120076454	-3.15476175
31	25.33229063	35.96416458	0.01575	0.03975	0.04625	1.128	8.049668	11.6268935	0	0.010675	0.00785	0.000825	0.01395	0.01665	0	0.00245	0	0.010675	0.00785	0.000825	0	0.000875	0.0369	0.0045	0	0	0.1229	0	0.001275	0	0.0127	0.0127	0.141875	0.14365	0.285525	0	0.0233	7.908267796	27.55301379	64.53871841	0	0.21	32.072556	0.00138745	0.015684726	2.074805	0.111462106	16.42853333		334.5795	44.07948875	0.000108206	0.0738675	0.028165	0.597222	0.033365	0.012755388	0.075386864	86.79759217	40.5	22.38825	39.9166	0.0660175	198.51775	-0.291655	0.0737119			-3.41371441	-3.563894969
32	23.15414784	37.39914748	0.010833333	0.015083333	0.0135	0.875	7.913021	16.9370085	0.00055	0.013825	0.0054	0.001325	0.016825	0.0153	0	0.002325	0.00055	0.013825	0.0054	0.001325	0.0013	0.001025	0.04185	0.003525	0	0	0.104175	0	0.001	0	0.028275	0.028275	0.113975	0.140475	0.25445	0	0.022125	5.823837244	31.00499255	63.17117021	0	0.08	35.41432467	0.001387789	0.019819019	1.65278	0.141639415	14.90755		375.1296667	50.4297039	0.00015791	0.2179455	0	0	0.035025	0.014782076	0.076392665	82.17112986	38.25	25.38995	40.281525	0.013053803	189.470925	-0.1530655	0.144950281	0.115348256		-3.466479802	-3.447403845
33	20.99609872	38.70125705	0.012375	0.09925	0.474625	1.137875	7.8847035	18.0244415	0	0.01105	0.007425	0.0012	0.0149	0.0185	0	0.003775	0	0.01105	0.007425	0.0012	0.00145	0.001275	0.04825	0.005325	0.000525	0	0.1158	0	0.000975	0	0.02535	0.02535	0.12985	0.227775	0.357625	0	0.03145	7.649550603	31.70843354	60.64201585	0	0.125	34.40637675	0.001387773	0.017378158	1.35948	0.232659438	15.876		443.6815	67.27928543	8.51389E-05	0.229217	0	4.986111	0.04224225	0.020931659	0.089234141	72.2335186	35.5	26.694575	39.7711	0.073950553	185.794725	0.254983	0.265261337	0.299791565		-3.737678436	-3.791929345
34	19.41562526	42.62303737	0.03125	0.165625	1.37675	1.482375			0	0.02805	0.02485	0.0031	0.03345	0.032175	0	0.004275	0	0.02805	0.02485	0.0031	0.005875	0.000975	0.089575	0.008275	0	0	0.0312	0	0.000675	0	0.053975	0.053975	0.058625	0.3275	0.386125	0	0.0286	16.69422529	50.23674671	33.069028	0	0.55	39.856111	0.001387755	0.015265826	1.36093	3.161896661	16.38688		421.174	515.1187859	0.000469339	0.007657	0	9.972222			0.102668648		27.5	27.5832	38.9166	0.189485	184.074	-0.0760935	0.39391602	0.22928013		-3.232260653	-3.344148353
35																																																																						
36	20.82414715	63.52419049	0.063833333	0.998166667	8.251666667	10.02816667	7.957807	17.964306	0.00225	0.009766667	0.013366667	0.0019	0.014966667	0.0151	0	0.0051	0.00225	0.009766667	0.013366667	0.0019	0.00045	0.0014	0.037466667	0.005166667	0	0.00025	0.025233333	0.003	0.00045	0	0.032433333	0.032433333	0	0.208833333	0.208833333	0.00315	0.007033333	19.801162	38.78481693	41.41402107	0	0.1	49.163003	0.001387737	0.028895527	2.782646667	0.770731266	15.3808		1358.45	235.4312759	0.000425795	-0.059071	0.0683535	0	0.103872	0.091012052	0.173833933	37.4864235	13.5	24.56695	36.6809	0.19146	212.0209	0.21989	3.835457698	3.852036017		-2.560231251	-2.599771414
37	20.06776729	63.97576542																																							0	0.05	51.252603	0.001387732	0.029460803	3.50352	0.622551804	16.20663333		1056.683	201.8413315	0.000378402	-0.0408735	0.065677	0	0.103872	0.090574257	0.173833933	38.20765305	11	24.3537	36.6725	0.25421	211.3969	1.9253	3.665910168	3.095892592	4.28864801	-2.256507973	-2.218072812
38	18.97533232	64.80513398	0.383444333	1.081611	9.049666667	11.2875	7.665524	40.13784	0.001525	0.012891667	0.010475	0.00245	0.016325	0.011058333	0	0.003975	0.001525	0.012891667	0.010475	0.00245	0.001616667	0.000558333	0.024791667	0.002766667	0	0	0.015708333	0.00015	0.000733333	0	0.029375	0.029375	0.01145	0.122633333	0.134083333	0	0.007358333	20.46661683	36.16025126	43.3731319	0	0.026666667	51.7985725	0.001387723	0.027771399	3.6970675	0.367299967	22.33882857		743.8926667	99.66905823	0.000220786	0.204471	0.069484	1.125	0.0609005	0.035681278	0.130705503	51.08182844	15.5	25.2245	36.72465	0.18159	199.91905	1.11903	5.142869189	4.196757137	3.15955267	-2.459349428	-2.354132015
39	18.48597562	66.65888199	0.729666667	1.292889	10.60816667	17.70847233			0.003625	0.010675	0.00675	0.001658333	0.012825	0.01115	0	0.002983333	0.003625	0.010675	0.00675	0.001658333	0.001291667	0.000566667	0.025608333	0.002925	0.000125	0	0.040875	0	0.000683333	0	0.022525	0.022525	0.024933333	0.120983333	0.145916667	0	0.009	12.71204691	33.65472121	53.63323188	0	0.223333333	51.353293	0.00138772	0.02349785	2.087226667	0.292426868	21.559		510.181	86.15027142	0.000180585	0.2231995	0.086921	1.125	0.05383	0.029775886	0.10184841	56.6617466	15	25.58665	36.71745	0.112	194.36765	-0.86045	2.601306869	2.723816945	2.621348418	-2.734482638	-2.725799205
40	16.90464912	68.39993465	0.156889	1.133811	10.37914433	10.60524433			0.0031935	0.0040935	0.0019735	0.0005335	0.0056265	0.00968	0	0.0022135	0.0031935	0.0040935	0.0019735	0.0005335	0	0.0002665	0.01452	0.0014265	0	0	0.0377	0.00068	0.0008665	0	0.01072	0.01072	0.082	0.0783065	0.1603065	0.0022135	0.0106135	8.552821296	28.79078382	62.65639488	0	0.796666667	55.500891	0.001387709	0.020881673		0.154575108	12.78587143		312.006	82.59899076	0.000122947	-0.1846005	0.0565495	9.513889	0.054241	0.038808463	0.097205472	56.85988998	13.5	25.95015	36.7209	0.114915	193.1701	1.0652	2.447168114	3.711142335	5.094182588	-2.739707299	-2.768401256
41	13.05561077	70.69134192	0.02075	0.7615	6.756166667	9.231333333			0	0.003266667	0.002033333	0	0.004933333	0.005466667	0	0.001533333	0	0.003266667	0.002033333	0	0	0	0.014683333	0.001433333	0	0	0.060166667	0	0.00035	0	0.00405	0.00405	0.0555	0.045133333	0.100633333	0	0.01195	6.235276614	24.53835726	69.22636612	0	0.84	56.45128233	0.001387699	0.018084699		0.096919227	16.27016		261.38775	47.26595115	0.000151308	-0.1268815	0.026178	13.513889	0.038397667	0.022756204	0.081267678	83.43752416	14.33333333	26.36923333	36.58683333	0.0616951	191.0658333	0.18329	0.551669643	0.462736351	0.479194547	-2.974689919	-3.063338485
42	5.780363214	73.84111071	0.003	0.51175	5.844666667	8.960916667			0	0.0017	0.0011	0	0.00175	0.003283333	0	0.00085	0	0.0017	0.0011	0	0	0	0.006933333	0.001	0	0	0.063016667	0	0	0	0.003183333	0.003183333	0.0544	0.03215	0.08655	0	0.010166667	3.952740586	13.51412224	82.53313718	0	0.635	54.750086	0.001387691	0.015530824		0.18830401	15.6538		210.7695	73.74585249	0.001032971	0.1525595	0.118141	5	0.027644	0.010880594	0.069160691	86.62337494	23	27.21435	35.7565	0	188.47225	-1.7809	0.504099242	0.431370658	0.425187622	-2.615503321	-2.621391711
43	4.017725758	72.80729242	0.004	0.076	0.035	2.064			0	0.009	0.0149	0.0014	0.0221	0.023	0	0.0063	0	0.009	0.0149	0.0014	0.0045	0.0007	0.0493	0.0057	0.0013	0	0.0757	0	0.0012	0	0.0464	0.0464	0.0985	0.289	0.3875	0.0035	0.0269	14.34363889	31.92961579	53.72674533	0	0.34	51.59353167	0.001382646	0.01531058		0.30616164	14.78045			118.5672684	0.001032971	0.0736645	0.0709385	1		0.024777293	0.067605957	69.18317413	13	28.6319	35.1087	0.112775	189.3918	-0.78467				-4.019903	
44	2.208586916	71.55721449	0.006625	0.724	8.517125	12.314			0	0.0026	0.001	0	0.00235	0.003475	0	0.001775	0	0.0026	0.001	0	0	0	0.008275	0.001325	0	0	0.030175	0	0	0	0.00335	0.00335	0.050425	0.0372	0.087625	0	0.006625	8.760018806	25.56586665	65.67411454	0	0.05	52.35152667	0.00134915	0.016021981		0.089928385	17.5297		193.666	37.24840927	0.000184778	0.056421	0.046654	0		0.008001673		87.46320343	24			0	188.0359	-0.61226	0.720796919	0.872436534	1.068464837	-2.390764113	-2.371373946
45	-0.229688793	72.27409655	0.015333	1.936	28.644	15.138																																			0	0.01	54.2241225	0.001300308	0.016515702		0.115378083	13.73795		214.975	41.53479052	0.000173742	0.077086	0.0645135	1.75											0.571603242	0.434269135		-2.518907412	-2.494455931
46	-1.130625	72.82156471	0.03	0.139	0.475	2.082	8.016174	10.576483	0.0092	0.0057	0.0186	0.0026	0.0105	0.014	0	0.004	0.0092	0.0057	0.0186	0.0026	0.0094	0.0007	0.0231	0.0034	0.0009	0	0.0459	0	0.001	0	0.0491	0.0491	0.0485	0.2412	0.2897	0	0.0196	20.8543026	20.85822922	58.28746818	0	0.025	44.18557	0.001296749	0.016487172		0.16870462	14.82595		236.284	42.50815678	0.0002045	0.0277625	0.052433	1.75	0.03755	0.007884224	0.055621702	91.9634908	20	24.035	35.6207	0.0064835	184.818	1.8661				-3.2465645	
47	-4.706537795	70.08075118																																							0	0.15	42.01619	0.00126151	0.015203042		0.074194875	20.6358		173.214	33.75337696	0.000190291	-0.0524875	0.0564775	1.888889	0.0318	0.021687932	0.071429439	59.72914314	14			0.18188	184.8749	0.35805	0.269691721	0.316642839		-2.627399912	-2.564794655
48	-12.68354808	63.29573846																																							0	0.48	43.629172	0.001156849	0.012768947		0.1672022	16.2248		173.214	50.44159699	0.000730487	0.046845	0.1014035	2.736111											0.408214784	0.20674038		-2.644876085	-2.599735318
49	-19.3747131	58.06644643																																							0	0.4	37.7000305	0.001049866	0.011721853		0.159391056	8.3341			50.03283572	0.000696367	0.0730075	0.1052725	5.7638885															
50	-21.48708512	56.31717907	0.00675	0.08925	0.10125	2.3205	8.062792	9.957814	0	0.00395	0.002325	0	0.0039	0.00355	0	0.001	0	0.00395	0.002325	0	0	0	0.0099	0.00125	0	0	0.049175	0	0.000625	0	0.00165	0.00165	0.049125	0.0349	0.084025	0	0.00865	7.489127526	22.2928639	70.21800857	0	0.136666667	36.940521	0.00098638	0.011537544		0.059218876	17.1055			30.98883247	0.000125723	0.0298635	0.0559105	4.9166665	0.027273	0.006571704	0.061443126	101.5610066	72	26.9054	35.1223	0.040949	194.8358	0.5317	0.062652233	0.065441461	0.077744649	-3.066261992	-3.130692055
51	-20.70329775	54.26867453	0.008875	0.2161875	1.965125	2.6592185			0	0.0136	0.00265	0.00035	0.00925	0.00865	0	0.0013	0	0.0136	0.00265	0.00035	0.0003	0	0.019425	0.001925	0	0	0.0403	0	0.0004	0	0.002	0.002	0.0586	0.055375	0.113975	0	0.014275	7.770247882	41.05870412	51.171048	0	0.105	36.35263033	0.001012773	0.010900796	0.79622	0.065190791	22.04313333		172.66325	32.27833096	0.000120097	0.200079	0.055608	1.0694445	0.02654	0.006585523	0.06607195	103.0593538	30	26.6614	35.0817	0.040949	194.3521	0.5317	0.097461643	0.074801526	0.104962662	-2.956191133	-3.015134995
52	-16.34473938	52.87283664	0.025166667	0.3115	2.75625	3.628	7.612326	33.461945	0	0.008425	0.002775	0.001025	0.00725	0.010425	0	0.002475	0	0.008425	0.002775	0.001025	0	0	0.025775	0.002925	0	0	0.065425	0	0.0005	0	0.014225	0.014225	0.1051	0.064025	0.169125	0	0.01555	6.509509248	31.3784287	62.11206205	0	0.643333333	36.43027357	0.001061064	0.011373766	0.79457	0.098574605	27.11338		172.66325	43.57467127	0.000161413	0.408363	0.1111785	1.0694445	0.0283	0.00886263	0.049949803	98.51449076	45	23.6075	35.20705	0.137267	191.7574	0.5317	0.076995935	0.065582555	0.054068857	-2.880153305	-2.94754514
53	-12.99391074	46.4305047	0.011	1.274	17.29	10.55																																			0	0.95	40.99363733	0.001071068	0.012023675		2.180014264	10.2197			63.06895208	0.000431895	0.723076	0.114168	2.8333335	0.032072667	0.010607497	0.062784158	85.10701656	41.5	27.49135	35.01805	0.15431	192.8597	0.5317	0.300512761	0.225369037	0.159976939	-2.763449736	-2.77809719
54	-13.30745294	44.80942288																																							0	0.986666667	39.74829467	0.001034591	0.011603734	0.7966	2.848696978	11.30893333		286.329	65.29205321	0.000453873	0.704094	0.057746	2.305555667	0.0346165	0.010107911	0.083429002	77.0221672	46	28.148	35.0932	0.066414	192.7356	0.5317					
55	-15.3419	43.29631111																																							0	1	39.592453	0.001008999	0.011774442	0.7966	0.121014141	10.9825		286.329	43.84181976	9.52729E-05	0.887425		1.25															
56	-16.16298941	43.00338118																																							0	0.995	38.73506333	0.001009226	0.01125673	0.7072	0.158341477	9.333		330.336	55.53266907	0.000339258	0.3727625		1.625											0.237231688	0.235348811	0.212361021	-3.020200115	-3.045863742
57	-17.27512604	42.50841875																																							0	0.953333333	37.3545435	0.001004817	0.010919482	0.6178	0.17443048	10.89546667		374.343	58.07749796	0.000296707	0.207864	0.197237	1											0.295822854	0.279824612		-3.107069622	-3.089903157
58	-17.99840061	41.92941437	0.0218755	0	3.7291075	4.626829	7.971453	19.364503	0	0.01155	0.005325	0.00055	0.01085	0.0086	0	0.00165	0	0.01155	0.005325	0.00055	0.0004	0	0.02405	0.0027	0	0	0.0527	0	0.000825	0	0.00265	0.00265	0.0877	0.090425	0.178125	0	0.01935	10.64145186	37.42293949	51.93560865	0	0.77	35.47206936	0.000961736	0.011503645	1.56105	0.158935507	18.81332		330.61375	52.8357632	0.000120727	0.0790926	0.09544	5.45833325	0.03978	0.015415141	0.085827759	71.31214981	42	25.7419	35.32485	0.02196305	196.10075						
59	-22.3368	40.3412																																							0	0.61	31.0455	0.000909214	0.012337432	1.56105	0.158188522	20.3338		343.789	53.02372742	0.000111145	-0.113784	0.04422	8.944444															
60	-22.3368	40.3412																																							0	0.61	31.0455	0.000909214	0.012337432	1.56105	0.158188522	20.3338		343.789	53.02372742	0.000111145	-0.113784	0.04422	8.944444															
61	-22.3368	40.3412																																							0	0.61	31.0455	0.000909214	0.012337432	1.56105	0.158188522	20.3338		343.789	53.02372742	0.000111145	-0.113784	0.04422	8.944444															
62	-24.76633644	39.48866186																																							0	0.446666667	30.692735	0.000856312	0.011267843	1.34846	0.17858949	21.12805		447.04825	54.55667973	0.000126257	0.281587	0.081632	4.472222	0.0375205	0.015089795	0.085229821	74.32727242	15	25.9124	35.3271	0.068955	195.4816	0.82027					
63																																																																		0.199078333	0.143219623		-2.862893933	-2.899170854
