Latitude	Longitude	Day of year	Export flux	PP	export ratio	Depth	% nitrate remaining	Si:N ratio	% microplankton	% nanoplankton	% picoplankton	log(mesozooplankton biomass)	log(bacteria abundance)	log(macrozooplankton abundance)	Reference	DOI
76.28	-71.985	250	63.6	665	0.096	100	5.607	2.253	0.321	0.525	0.155	NaN	NaN	NaN	Amiel et al. 2002	https://doi.org/10.1016/S0967-0645(02)00185-6
76.28	-71.985	250	76.8	665	0.115	100	5.607	2.253	0.321	0.525	0.155	NaN	NaN	NaN	Amiel et al. 2002	https://doi.org/10.1016/S0967-0645(02)00185-6
76.283	-74.388	240	61.2	868.38	0.07	100	17.237	1.89	0.454	0.419	0.127	NaN	NaN	NaN	Amiel et al. 2002	https://doi.org/10.1016/S0967-0645(02)00185-6
0	-140	91	22.8	1935.1	0.012	120	35.159	0.487	0.257	0.491	0.251	NaN	22.264	NaN	Bacon et al. 1996	https://doi.org/10.1016/0967-0645(96)00016-1
0	-140	283	28.8	1926.5	0.015	120	74.461	0	0.268	0.495	0.237	NaN	22.264	NaN	Bacon et al. 1996	https://doi.org/10.1016/0967-0645(96)00016-1
22.5	61.2	21	13.2	3390.7	0.004	100	100	NaN	0.517	0.363	0.12	NaN	22.752	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
21.2	63.5	21	34.8	3202.9	0.011	100	100	NaN	0.473	0.392	0.136	3.538	22.514	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
19.9	65.9	21	18	2967.2	0.006	100	100	NaN	0.445	0.402	0.153	2.286	22.306	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
19.2	67.2	21	12	2942.4	0.004	100	100	NaN	0.423	0.411	0.166	NaN	22.232	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
17.3	67.9	21	20.4	2728.7	0.007	100	100	NaN	0.404	0.423	0.172	NaN	22.23	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
16.3	68.4	21	31.2	2485.4	0.013	100	100	NaN	0.355	0.463	0.182	1.151	22.277	-7.301	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
10	64.9	21	7.2	1800.3	0.004	100	69.995	13.298	0.267	0.488	0.245	NaN	22.044	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
12.1	65	21	49.2	2473	0.02	100	100	NaN	0.34	0.462	0.198	NaN	22.222	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
14.4	65	21	52.8	2861.4	0.018	100	100	NaN	0.373	0.45	0.177	NaN	22.343	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
15.3	63.5	21	-3.6	3026.4	NaN	100	100	NaN	0.395	0.436	0.169	3.32	22.429	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
16	62	21	48	2611	0.018	100	75.029	2.794	0.398	0.435	0.167	2.948	22.629	-5.207	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
17.2	59.8	21	43.2	2768	0.016	100	39.695	0.93	0.43	0.412	0.158	NaN	22.763	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
17.7	58.8	21	84	2671.2	0.031	100	20.736	0.767	0.431	0.411	0.158	NaN	22.762	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
18.1	58	21	81.6	3078.7	0.027	100	NaN	NaN	0.501	0.366	0.132	NaN	22.782	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
22.5	61.2	86	87.6	5244.9	0.017	100	20.438	1.028	0.487	0.379	0.134	NaN	22.752	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
21.2	63.5	86	96	4090.9	0.023	100	12.925	1.271	0.391	0.435	0.174	1.722	22.514	-7.269	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
19.9	65.9	86	102	3299.6	0.031	100	10.891	0.995	0.345	0.457	0.198	1.86	22.306	-3.932	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
19.2	67.2	86	61.2	2460.3	0.025	100	17.615	1.932	0.304	0.47	0.226	NaN	22.232	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
17.3	67.9	86	28.8	2142.7	0.013	100	6.718	1.24	0.269	0.482	0.249	1.127	22.23	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
16.3	68.4	86	24	1851.5	0.013	100	4.929	1.109	0.244	0.487	0.269	1.123	22.277	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
10	64.9	86	32.4	1416.2	0.023	100	8.22	8.575	0.197	0.473	0.33	0.75	22.044	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
12.1	65	86	3.6	1582.3	0.002	100	2.522	4.004	0.217	0.476	0.306	1.032	22.222	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
14.4	65	86	34.8	2083.9	0.017	100	2.06	1.419	0.251	0.476	0.273	0.822	22.343	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
15.3	63.5	86	36	2396.7	0.015	100	3.169	0.599	0.273	0.475	0.252	1.029	22.429	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
16	62	86	10.8	2762.6	0.004	100	5.942	1.023	0.287	0.473	0.241	1.079	22.629	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
17.2	59.8	86	52.8	2944	0.018	100	6.988	0.825	0.298	0.476	0.226	NaN	22.763	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
17.7	58.8	86	37.2	2717.3	0.014	100	3.036	0.783	0.309	0.48	0.211	NaN	22.762	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
18.1	58	86	76.8	2766.4	0.028	100	NaN	NaN	0.464	0.392	0.144	NaN	22.782	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
22.5	61.2	213	48	5731.7	0.008	100	60.144	1.38	0.617	0.298	0.085	NaN	22.752	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
21.2	63.5	213	24	2747.8	0.009	100	50.911	1.58	0.361	0.441	0.198	NaN	22.514	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
19.9	65.9	213	9.6	1104.1	0.009	100	9.074	0.935	0.325	0.469	0.206	NaN	22.306	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
NaN	67.2	213	31.2	0	NaN	100	23.822	2.242	0.318	0.471	0.211	NaN	22.232	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
17.3	67.9	213	-2.4	1774.8	NaN	100	13.832	1.669	0.349	0.459	0.192	NaN	22.23	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
16.3	68.4	213	18	3457.7	0.005	100	14.995	1.699	0.403	0.42	0.176	NaN	22.277	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
10	64.9	213	22.8	2463.9	0.009	100	9.703	8.89	0.264	0.482	0.254	NaN	22.044	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
12.1	65	213	31.2	3569.4	0.009	100	13.134	4.333	0.299	0.482	0.219	NaN	22.222	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
14.4	65	213	36	5045.6	0.007	100	37.647	1.823	0.333	0.472	0.195	NaN	22.343	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
15.3	63.5	213	90	4637.4	0.019	100	72.563	0.491	0.377	0.443	0.18	NaN	22.429	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
16	62	213	49.2	5171.8	0.01	100	100	NaN	0.416	0.403	0.181	NaN	22.629	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
16.4	61.5	213	94.8	5407.4	0.018	100	100	NaN	0.381	0.41	0.209	NaN	22.629	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
17.2	59.8	213	141.6	3523	0.04	100	100	NaN	0.42	0.395	0.186	2.954	22.763	-7.02	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
17.7	58.8	213	205.2	4300.5	0.048	100	100	NaN	0.477	0.371	0.152	NaN	22.762	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
22.5	60	244	150	8898.9	0.017	100	NaN	NaN	0.666	0.258	0.075	NaN	22.804	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
22.5	61.2	244	76.8	6403.6	0.012	100	48.48	0.216	0.586	0.313	0.101	NaN	22.752	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
21.2	63.5	244	165.6	4274.6	0.039	100	36.315	0.396	0.463	0.395	0.143	NaN	22.514	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
19.9	65.9	244	132	3507.3	0.038	100	18.031	0.861	0.383	0.447	0.17	2.514	22.306	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
17.3	67.9	244	30	4219.6	0.007	100	22.154	1.967	0.349	0.46	0.19	1.936	22.23	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
16.3	68.4	244	151.2	3441.2	0.044	100	15.895	1.755	0.32	0.471	0.209	1.936	22.277	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
10	64.9	244	135.6	1993.2	0.068	100	100	NaN	0.283	0.488	0.229	NaN	22.044	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
12.1	65	244	159.6	3253.3	0.049	100	88.147	32.704	0.37	0.454	0.176	NaN	22.222	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
14.4	65	244	284.4	4443.6	0.064	100	47.522	2.658	0.424	0.422	0.153	NaN	22.343	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
15.3	63.5	244	184.8	4306.6	0.043	100	49.315	1.062	0.417	0.426	0.157	NaN	22.429	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
16	62	244	304.8	4087.2	0.075	100	85.125	5.044	0.413	0.428	0.158	NaN	22.629	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
16.4	61.5	244	235.2	4884.7	0.048	100	85.125	5.044	0.415	0.427	0.158	NaN	22.629	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
17.2	59.8	244	235.2	5195.3	0.045	100	96.998	12.265	0.453	0.401	0.146	3.102	22.763	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
17.7	58.8	244	309.6	6400.9	0.048	100	97.356	8.232	0.5	0.37	0.13	NaN	22.762	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
0	-170	121	33	1710.6	0.019	100	56.726	0.987	0.251	0.49	0.259	NaN	NaN	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
0	-140	121	30	1750.1	0.017	100	61.44	0.655	0.257	0.491	0.251	NaN	22.264	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
0	-125	121	33	1797.6	0.018	100	62.747	0.049	0.26	0.492	0.248	NaN	NaN	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
0	-110	121	27	1844.6	0.015	100	68.389	0.524	0.27	0.493	0.237	NaN	NaN	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
0	-140	258	30	1967.9	0.015	100	78.315	0.393	0.268	0.495	0.237	NaN	22.264	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
0	-125	258	27	2011.4	0.013	100	53.011	0.706	0.271	0.495	0.234	NaN	NaN	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
0	-110	258	36	1841.1	0.02	100	75.776	0.614	0.275	0.498	0.226	NaN	NaN	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
0	-95	258	60	2030.2	0.03	100	99.916	179.62	0.3	0.497	0.203	2.231	NaN	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
0	-140	54	72	1748.6	0.041	100	47.264	0.412	0.25	0.49	0.26	NaN	22.264	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
0	-140	122	24	1750.1	0.014	100	61.44	0.655	0.257	0.491	0.251	NaN	22.264	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
0	-140	120	32.4	1734	0.019	100	35.159	0.487	0.257	0.491	0.251	NaN	22.264	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
0	-140	241	114	2063.9	0.055	100	100	NaN	0.303	0.489	0.208	NaN	22.264	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
0	-140	285	33.6	1926.5	0.017	100	74.461	0	0.268	0.495	0.237	NaN	22.264	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
-50	-5	319	108	679.79	0.159	100	80.798	2.377	0.249	0.521	0.23	NaN	NaN	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
NaN	-5	319	240	0	NaN	100	76.278	1.245	NaN	NaN	NaN	NaN	NaN	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
NaN	-84.93	319	168	0	NaN	100	65.115	3.222	NaN	NaN	NaN	NaN	NaN	NaN	Buesseler et al. 1998	https://doi.org/10.1016/S0967-0645(98)80022-2
-60.5	-169	305	182.07	420.75	0.433	100	96.812	5.666	0.406	0.403	0.191	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-59.333	-169	308	137.18	446.89	0.307	100	96.535	8.139	0.193	0.533	0.274	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-53.03	-174.73	338	126.87	928.35	0.137	100	41.128	0.599	0.264	0.509	0.226	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-56.843	-174.15	341	62.87	777.38	0.081	100	46.499	0.859	0.227	0.501	0.272	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-60.231	-170.07	344	110.25	712.32	0.155	100	27.955	1.465	0.258	0.499	0.243	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-60.917	-169.25	346	224.73	846.85	0.265	100	31.583	1.182	0.258	0.498	0.244	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-61.667	-168.83	348	109.1	879.16	0.124	100	35.567	1.418	0.263	0.506	0.231	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
NaN	-169.19	350	77.83	0	NaN	100	25.545	1.466	0.356	0.472	0.172	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
NaN	-169.19	352	189.4	0	NaN	100	25.545	1.466	0.356	0.472	0.172	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-63.087	-169.19	353	153.37	801.84	0.191	100	28.72	1.631	0.317	0.494	0.189	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-55.671	-171.19	359	63.18	874.1	0.072	100	39.2	0.725	0.225	0.499	0.276	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-67.784	-170.11	17	191.49	547.04	0.35	100	34.172	1.878	0.318	0.495	0.187	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-64.833	-170.1	18	317.02	952.2	0.333	100	42.675	1.483	0.348	0.476	0.176	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-62.033	-170.1	20	266.54	710	0.375	100	51.788	2.257	0.277	0.51	0.212	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-62	-170.1	25	127.3	548.91	0.232	100	48.918	2.04	0.253	0.509	0.238	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-65.167	-170.1	28	437.43	674.2	0.649	100	43.188	1.441	0.326	0.49	0.185	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-52.978	-174.73	47	156.77	944.77	0.166	100	24.278	0.464	0.27	0.509	0.221	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-56.848	-171.51	51	192.47	506.9	0.38	100	42.683	1.011	0.229	0.502	0.27	2.541	NaN	-14.509	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-60.233	-170.07	53	141.42	386.76	0.366	100	43.932	1.847	0.258	0.499	0.243	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-63.083	-169.88	55	210.25	638.65	0.329	100	48.742	2.039	0.317	0.494	0.189	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-66.1	-168.67	59	233.19	295.87	0.788	100	42.562	1.842	0.292	0.507	0.201	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
NaN	-165.91	62	465.28	0	NaN	100	38.087	2.012	NaN	NaN	NaN	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
NaN	-168.45	65	586.16	0	NaN	100	33.593	2.132	NaN	NaN	NaN	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-64.7	-169.33	67	183.29	452.28	0.405	100	45.488	1.897	0.2	0.54	0.26	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-61.667	-170.1	70	50.18	310.7	0.162	100	52.375	2.104	0.162	0.525	0.312	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-54.333	-173.33	74	58.84	519.73	0.113	100	39.577	0.664	0.195	0.511	0.294	NaN	NaN	NaN	Buesseler et al. 2001	https://doi.org/10.1016/S0304-4203(00)00092-X
-33	-40	152	142.68	546.39	0.261	100	9.226	1	0.202	0.494	0.304	NaN	NaN	NaN	Charette and Moran 1999	https://doi.org/10.1016/S0967-0645(99)00006-5
-16.3	-25	152	37.92	395.1	0.096	100	84.284	14.015	0.168	0.485	0.347	NaN	NaN	-5.34	Charette and Moran 1999	https://doi.org/10.1016/S0967-0645(99)00006-5
-0.5	-20	152	-38.4	1684.6	NaN	100	100	NaN	0.349	0.469	0.182	NaN	NaN	NaN	Charette and Moran 1999	https://doi.org/10.1016/S0967-0645(99)00006-5
8	-45	152	270.6	1237.3	0.219	100	24.743	2.519	0.266	0.466	0.268	NaN	NaN	NaN	Charette and Moran 1999	https://doi.org/10.1016/S0967-0645(99)00006-5
6	-48	152	457.8	1737.2	0.264	100	5.108	1.735	0.42	0.415	0.165	NaN	NaN	NaN	Charette and Moran 1999	https://doi.org/10.1016/S0967-0645(99)00006-5
8	-45	152	223.07	1237.3	0.18	100	24.743	2.519	0.266	0.466	0.268	NaN	NaN	NaN	Charette and Moran 1999	https://doi.org/10.1016/S0967-0645(99)00006-5
5.75	-31	152	195.96	1405.2	0.139	100	100	NaN	0.212	0.486	0.302	NaN	NaN	NaN	Charette and Moran 1999	https://doi.org/10.1016/S0967-0645(99)00006-5
4.5	-22	152	337.8	1341	0.252	100	13.248	8.451	0.237	0.492	0.271	NaN	NaN	NaN	Charette and Moran 1999	https://doi.org/10.1016/S0967-0645(99)00006-5
2.5	-21	152	-22.56	1317.6	NaN	100	100	NaN	0.277	0.494	0.229	NaN	NaN	NaN	Charette and Moran 1999	https://doi.org/10.1016/S0967-0645(99)00006-5
-2.5	-21	152	515.28	1410.3	0.365	100	93.64	1.623	0.29	0.489	0.221	NaN	NaN	NaN	Charette and Moran 1999	https://doi.org/10.1016/S0967-0645(99)00006-5
-4.5	-22	152	276.72	1264.7	0.219	100	48.599	0	0.225	0.483	0.292	NaN	20.903	NaN	Charette and Moran 1999	https://doi.org/10.1016/S0967-0645(99)00006-5
-10	-23	152	-42.12	668.28	NaN	100	31.248	4.713	0.181	0.476	0.344	NaN	NaN	NaN	Charette and Moran 1999	https://doi.org/10.1016/S0967-0645(99)00006-5
50	-145	46	33.6	375.09	0.09	110	100	NaN	0.208	0.53	0.263	NaN	NaN	NaN	Charette et al. 1999	https://doi.org/10.1016/S0967-0645(99)00085-5
50	-145	135	85.2	917.88	0.093	110	49.378	1.258	0.265	0.518	0.217	NaN	NaN	NaN	Charette et al. 1999	https://doi.org/10.1016/S0967-0645(99)00085-5
50	-145	227	91.2	1162.7	0.078	110	20.523	1.249	0.296	0.51	0.194	2.367	NaN	NaN	Charette et al. 1999	https://doi.org/10.1016/S0967-0645(99)00085-5
44	-63.5	251	168	2373.7	0.071	100	NaN	NaN	0.66	0.274	0.065	NaN	22.121	NaN	Charette et al. 2001	https://doi.org/10.1029/1999JC000277
41.7	-61	251	94.8	1219.7	0.078	100	1.753	0.773	0.271	0.519	0.21	NaN	22.16	NaN	Charette et al. 2001	https://doi.org/10.1029/1999JC000277
41.7	-65.5	251	264	1487.5	0.177	100	19.071	0.858	0.376	0.463	0.161	2.39	22.263	-3.612	Charette et al. 2001	https://doi.org/10.1029/1999JC000277
42.8	-65.8	251	204	1836.8	0.111	100	22.43	0.856	0.433	0.422	0.145	NaN	22.278	NaN	Charette et al. 2001	https://doi.org/10.1029/1999JC000277
43.2	-67.5	251	360	3498.6	0.103	100	8.798	0.814	0.567	0.33	0.102	3.145	22.52	-1.677	Charette et al. 2001	https://doi.org/10.1029/1999JC000277
42	-69.3	251	204	2957.1	0.069	100	5.658	0.683	0.55	0.344	0.107	NaN	22.867	NaN	Charette et al. 2001	https://doi.org/10.1029/1999JC000277
44.8	-59	251	50.4	2415.5	0.021	100	0.779	0.924	0.499	0.381	0.12	NaN	22.112	NaN	Charette et al. 2001	https://doi.org/10.1029/1999JC000277
NaN	-161.58	227	12	0	NaN	100	19.77	1.024	NaN	NaN	NaN	NaN	20.267	NaN	Chen et al. 2003	http://arctic.synergiesprairies.ca/arctic/index.php/arctic/article/view/600
56.36	-166.27	227	164.4	1923.1	0.085	100	3.516	1.425	NaN	NaN	NaN	NaN	NaN	NaN	Chen et al. 2003	http://arctic.synergiesprairies.ca/arctic/index.php/arctic/article/view/600
56.001	-165.45	227	154.8	1886.9	0.082	100	5.794	1.314	NaN	NaN	NaN	NaN	NaN	NaN	Chen et al. 2003	http://arctic.synergiesprairies.ca/arctic/index.php/arctic/article/view/600
55.756	-164.75	227	118.8	2431.9	0.049	100	5.473	1.57	NaN	NaN	NaN	NaN	NaN	NaN	Chen et al. 2003	http://arctic.synergiesprairies.ca/arctic/index.php/arctic/article/view/600
-76.5	-175.6	298	-26.4	0	NaN	100	85.257	3.707	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-175.6	346	151.2	0	NaN	100	28.042	2.363	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-175.6	25	603.6	0	NaN	100	36.999	2.314	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-175.6	66	176.4	0	NaN	100	57.279	2.109	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	-175.6	109	30	0	NaN	100	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
NaN	165.8	337	273.6	0	NaN	100	15.653	2.23	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
-76.5	165.8	25	1018.8	1960.9	0.52	100	6.703	2.301	NaN	NaN	NaN	NaN	NaN	NaN	Cochran et al. 2000	https://doi.org/10.1016/S0967-0645(00)00075-8
