Genome_Id	total_length	N_Fixation_Phylum	Cosmopolitan_Score_Subset_01	Max_Percent_reads	Average_percent_reads_Size_01	Average_percent_reads_Size_02	Average_percent_reads_Size_03	Average_percent_reads_Size_04	Average_percent_reads_subset_01	Portion_Size_01	Portion_Size_02	Portion_Size_03	Portion_Size_04	Portion_ALL_Arctic	Portion_ALL_Atlantic	Portion_ALL_Indian	Portion_ALL_MED	Portion_ALL_Pacific	Portion_ALL_RED	Portion_ALL_Southern	on RAST	Known_population	Of interest	N_Fixation	N_Fixation_Phylum	HBDs	Source	Domain anvio	Phylum gtdbtk	Class gtdbtk	Order gtdbtk	Family gtdbtk	Genus gtdbtk	Species gtdbtk	total_length	num_contigs	N50	GC_content	percent_completionanviov6	percent_redundancyanviov6	Cluster_Size_first_round	Completion_Minus_Red	Redundancy_removal_V1_V2	fastani_ani
TARA_IOS_50_MAG_00007	3179595		10	1.207659714	0	0.013545355	0.002100592	0.000338001	0.002885973	0	84.74348752	13.14188231	2.114630174	0	1.294125302	98.7058747	0	0	0	0							MAG_large_size_fractions	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium		3179595	40	96743	72.89	99.28	2.16	2	97.12	Unique	
TARA_PON_109_MAG_00052	2530727		2	1.79159E-05	0	1.42447E-07	0	0	2.45272E-08	0	100	0	0	0	0	0	0	100	0	0							MAG_large_size_fractions	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium		2530727	225	16079	72.15	94.96	2.16	1	92.81	Unique	
TARA_IOS_50_MAG_00089	4849609		42	1.611756753	0.016104293	0.010505067	0.002316832	0	0.008306012	55.67374103	36.31679764	8.00946133	0	0	11.89600821	54.51908672	3.542101743	30.04280333	0	0		Yes					MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Aestuariibacter_A	Aestuariibacter_A aggregatus	4849609	343	20223	48.65	78.42	2.16	2	76.26	Unique	98.07
TARA_PSW_86_MAG_00251	3824765		29	0.626257325	0.005219993	0.007766001	0.00024941	0.000104491	0.003353654	39.13068953	58.2163586	1.869651358	0.783300506	0	2.972200288	57.21386837	5.074308534	34.73962281	0	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Aestuariibacter_A	Aestuariibacter_A aggregatus	3824765	545	8282	48.78	71.94	5.04	1	66.91	Unique	96.51
TARA_ARC_108_MAG_00008	5093871		27	0.046097375	0.001587197	0.002737285	0.001713216	0.001667057	0.001832172	20.60022945	35.52721925	22.23582094	21.63673036	48.85287654	7.218076446	14.20721906	1.105760114	28.61606785	0	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia		5093871	19	443895	60.70	100.00	2.16	3	97.84	Unique	
TARA_MED_95_MAG_00018	4997106		7	0.799967408	0.006051781	0.007647503	0.005433389	0.006638441	0.006321685	23.48280743	29.67470968	21.08325186	25.75923103	0	0.099146906	0	99.20589341	0.315179483	0.3797802	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia	Afipia broomeae	4997106	33	290 935	61.36	100.00	1.41	1	98.59	Unique	97.89
TARA_AOS_82_MAG_00008	3347571	Gammaproteobacteria	4	0.151216207	0.000248807	0.000144252	0	0	0.000117111	63.3001433	36.6998567	0	0	0	65.14526354	30.50877223	0	4.345964227	0	0			Closest to Gamma A	Yes	Gammaproteobacteria		MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Agaribacterium		3347571	26	244846	47.93	99.28	1.44	1	97.84	Unique	
TARA_AON_82_MAG_00249	4529300		7	0.104723818	0.000200669	0.000446681	0	0.000161799	0.000188621	24.80004154	55.20372343	0	19.99623503	0	25.91353396	0	0	74.08646604	0	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ahrensia		4529300	55	115496	62.26	72.66	2.16	1	70.50	Unique	
TARA_PON_109_MAG_00111	4986867		15	0.008344065	4.72383E-05	0	0	0	1.75188E-05	100	0	0	0	0	13.75664752	0	0	86.24335248	0	0		Yes					MAG_large_size_fractions	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ahrensia	GCA_002698425.1	4986867	274	26728	63.25	93.53	9.35	1	84.17	Unique	99.88
TARA_PON_109_MAG_00006	4860235		35	0.689094851	0.009357852	0.003139824	0	0.000648804	0.004160619	71.18142396	23.88338446	0	4.935191583	0	2.746130193	0	0	97.25386981	0	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Albimonas	Albimonas donghaensis	4860235	79	117373	71.42	99.28	0.00	5	99.28	Unique	97.14
TARA_ARC_108_MAG_00003	3680919		27	0.083802141	0.000701761	0.001515719	0.000696058	0.000479751	0.000789456	20.68084868	44.66814619	20.51277441	14.13823072	51.95907101	0	0	7.778748978	40.26218001	0	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	Alcanivorax	Alcanivorax jadensis	3680919	114	51749	58.30	100.00	0.72	2	99.28	Unique	97.59
TARA_IOS_MAG_00006	3234375		74	0.471631812	0.015261595	0.008697112	0.000506259	0.000863314	0.00747107	60.25515732	34.33755472	1.998788008	3.408499955	0.924938281	19.01441711	37.60342135	2.309877517	29.78362346	7.6012932	2.762429083							MAG_small_size_fraction	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	Alcanivorax	GCA_002715685.1	3234375	124	40083	65.04	100.00	1.41	5	98.59	Cluster_72	95.63
TARA_MED_95_MAG_00073	3329439		22	0.56896552	0.000822129	0.009490368	0.000115296	0.000135638	0.001996372	7.78278545	89.84172089	1.091461806	1.28403185	0	2.475970788	10.42696608	37.85302693	49.2440362	0	0		Yes					MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	Alcanivorax	Alcanivorax sp2	3329439	61	101 302	59.15	95.77	0.00	2	95.77	Unique	98.13
TARA_PON_109_MAG_00216	2434901		13	0.138830879	8.67044E-05	0.002325861	0.000160005	5.87517E-05	0.000482414	3.295088278	88.39136008	6.080768372	2.232783271	0	12.45487422	0	21.00584237	66.53928341	0	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	Alcanivorax	GCA_002733835.1	2434901	505	5108	58.90	70.50	8.63	1	61.87	Unique	97.95
TARA_PSE_93_MAG_00197	2636199		7	0.077394668	6.73746E-05	0.000128076	3.1202E-05	0	5.41064E-05	29.7259327	56.50763718	13.76643012	0	0	14.87202011	0	67.5961558	17.53182409	0	0		Yes					MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	Alcanivorax	Alcanivorax borkumensis	2636199	344	9729	54.82	70.50	2.16	1	68.35	Unique	99.52
TARA_PSW_MAG_00004	4269650		33	0.992404523	0.013563354	0.000644638	0.000177131	0.00054938	0.005307846	90.81891869	4.316432934	1.186055377	3.678593	0	35.10008704	24.79004642	0	38.21824551	1.891621027	0		Yes					MAG_small_size_fraction	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	Alcanivorax	GCA_002313655.1	4269650	83	92616	65.99	100.00	0.00	3	100.00	Cluster_54	99.95
TARA_ION_45_MAG_00009	3107744		4	0.011284259	9.63225E-05	0	0	0	3.57223E-05	100	0	0	0	0	12.26327633	87.73672367	0	0	0	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	Alcanivorax_A		3107744	263	17415	62.64	97.84	0.00	1	97.84	Unique	
TARA_ION_MAG_00037	3189943		15	0.03849017	0.000710839	0.000157493	0.000172892	0	0.000329899	68.26960685	15.12574017	16.60465298	0	0	2.056859509	70.4304917	0	8.33031296	19.18233583	0							MAG_small_size_fraction	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Algoriphagus	Algoriphagus ornithinivorans	3189943	605	5834	39.54	84.51	1.41	1	83.10	Unique	95.88
TARA_ARC_108_MAG_00080	4338982		20	3.336539301	0.008061109	0.013417514	7.25279E-05	0	0.005316278	37.40454261	62.25891913	0.336538265	0	72.33093803	4.230032155	0	0	23.43902982	0	0		Yes					MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas		4338982	471	13435	43.78	91.37	4.32	1	87.05	Unique	98.1
TARA_ARC_108_MAG_00179	4255499		16	1.038449523	0.005973401	0.002909651	0	0	0.002716301	67.24492241	32.75507759	0	0	9.008861254	9.629613129	0	79.41856038	1.942965237	0	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas		4255499	432	15418	44.19	74.82	3.60	1	71.22	Unique	
TARA_IOS_50_MAG_00117	5294181		85	5.564988231	0.142058916	0.145490778	0.012277895	0.004669593	0.081592486	46.65360615	47.78066495	4.032186723	1.533542178	0.308352746	7.242071188	36.2213534	31.50055609	20.59529101	4.024966812	0.107408757							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	Alteromonas macleodii	5294181	1047	5168	44.30	75.54	7.91	1	67.63	Unique	95.66
TARA_PON_109_MAG_00126	4089213		78	0.13254378	0.001881261	0.000322658	1.08306E-06	9.8047E-05	0.000776085	81.68568907	14.01001546	0.047027417	4.257268053	0.004181859	5.610549409	0.444538167	0.347043046	93.48946621	0	0.104221311		Yes					MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	Alteromonas australica	4089213	60	95306	44.97	86.33	5.04	4	81.29	Unique	98.67
TARA_RED_19_MAG_00028	3878755		89	6.968503579	0.144364205	0.183573027	0.015504032	0.006246608	0.090098769	41.28373226	52.49625202	4.433677445	1.78633827	0.163961157	6.041379821	39.11704098	32.47762363	17.89474001	4.186041179	0.119213222							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	Alteromonas macleodii	3878755	660	6496	44.83	82.01	3.60	2	78.42	Unique	97.99
TARA_SOC_MAG_00002	4429622		81	2.341782363	0.113022696	0.045613064	0.001001448	0.004663101	0.0510711	68.79031293	27.76200748	0.609522618	2.838156974	0	8.609836808	28.93796506	16.5098974	39.8308631	1.641591124	4.469846506		Yes					MAG_small_size_fraction	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas_A		4429622	109	60000	48.74	95.77	0.00	1	95.77	Cluster_186	98.85
TARA_PON_109_MAG_00204	4401266		20	0.063128056	0.001234649	0.000840026	9.62547E-05	0	0.000624324	56.87189787	38.69430287	4.433799263	0	0	10.58623162	44.35593684	6.867928402	38.18990314	0	0		Yes					MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas_B	GCA_002729795.1	4401266	95	78280	49.10	71.22	2.88	1	68.35	Unique	99.96
TARA_ARC_108_MAG_00048	2225958		22	1.041872423	0.023497751	0.001100581	0.001159669	0.000616632	0.009308667	89.09223618	4.172878111	4.396912218	2.337973493	53.59512625	0.643402478	0	0	0	0	45.76147128							MAG_large_size_fractions	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter		2225958	129	28777	38.47	98.56	6.47	1	92.09	Unique	
TARA_ARC_108_MAG_00077	1795290		26	2.735020234	0.056563112	0.002369264	0.000156571	1.74782E-05	0.021424491	95.69706121	4.008471295	0.264896772	0.02957072	85.87278573	13.89527097	0	0	0.231943295	0	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter		1795290	208	11615	36.04	90.65	2.16	1	88.49	Unique	
TARA_AON_82_MAG_00036	3887943		8	1.213124449	0.006116942	0.000690973	0	3.34836E-05	0.002395227	89.41069683	10.09987692	0	0.48942625	0	29.20760684	1.448111581	0	50.88853023	0	18.45575135							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Aquabacterium		3887943	24	325467	67.70	97.12	2.88	2	94.24	Unique	
TARA_RED_19_MAG_00003	4120241		13	0.185195894	0.002016845	0.000179586	0	5.99979E-05	0.000792719	89.3821568	7.958868112	0	2.658975089	0	4.043290785	1.100125681	15.09723825	5.377051347	74.38229394	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Aquabacterium		4120241	24	298295	66.80	99.28	0.72	2	98.56	Unique	
TARA_PSE_93_MAG_00078	2840689	Epsilonproteobacteria	1	0.182385082	0	0.001402962	1.96887E-05	0.000233247	0.000299784	0	84.72514959	1.189006959	14.08584346	0	0	0	0	100	0	0	Yes			Yes	Epsilonproteobacteria		MAG_large_size_fractions	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter		2840689	167	24042	28.40	96.40	6.47	1	89.93	Unique	
TARA_PSE_93_MAG_00170	1632629	Epsilonproteobacteria	2	0.115215357	6.80317E-05	0.000886272	1.12348E-05	9.42261E-05	0.000202094	6.419513794	83.62913283	1.060125846	8.89122753	0	0	0	0	100	0	0	Yes			Yes	Epsilonproteobacteria		MAG_large_size_fractions	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter		1632629	164	12387	28.64	75.54	2.88	1	72.66	Unique	
TARA_AON_82_MAG_00028	6820231		16	0.736363535	0.001692123	9.54582E-05	0	0	0.000643979	94.65992433	5.340075671	0	0	0	86.35228147	0	0	13.64771853	0	0		Yes					MAG_large_size_fractions	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	Arctic95D-9	GCA_002698785.1	6820231	22	726617	52.66	96.40	1.44	1	94.96	Unique	99.97
TARA_ARC_108_MAG_00076	4879288		2	0.150354975	0.000408138	0.001075535	5.68773E-05	0	0.000349436	26.4929844	69.81500287	3.692012734	0	100	0	0	0	0	0	0							MAG_large_size_fractions	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	Arctic95D-9		4879288	76	107417	52.45	89.21	0.00	1	89.21	Unique	
TARA_IOS_50_MAG_00020	3687453		18	0.475297421	0.006281577	0.001091945	0.001227232	0.000195013	0.002840508	71.4159015	12.41443721	13.95253333	2.217127962	0	0.352526806	93.53571922	0	4.601629736	1.51012424	0		Yes					MAG_large_size_fractions	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	Arctic95D-9	GCA_002862135.1	3687453	227	24712	54.46	94.96	0.00	2	94.96	Unique	99.25
TARA_PON_MAG_00011	3391906		13	0.238725732	0.003606657	0.001044656	0.000564746	0.000336372	0.001722873	64.95635784	18.81439107	10.17114212	6.058108975	0	0	4.933272128	0	95.06672787	0	0		Yes					MAG_small_size_fraction	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	Arctic95D-9	GCA_002726915.1	3391906	130	47289	51.82	92.96	1.41	1	91.55	Cluster_185	99.82
TARA_PSW_86_MAG_00051	3908232		9	0.24338817	0.001390142	0	0.000281412	0	0.000579286	83.16464491	0	16.83535509	0	0	0	27.16916218	0	72.83083782	0	0							MAG_large_size_fractions	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	Arctic95D-9	GCA_002862135.1	3908232	136	49597	54.42	94.96	0.72	1	94.24	Unique	95.43
TARA_PON_109_MAG_00091	2415513		45	0.034432028	0.000660927	4.85197E-07	8.61387E-07	0	0.00024539	99.79667242	0.073262392	0.13006519	0	0.273680954	10.22887572	0.764311262	73.62045381	15.06620416	0.029608654	0.016865437		Yes					MAG_large_size_fractions	Bacteria	SAR324	SAR324	SAR324	NAC60-12	Arctic96AD-7	Arctic96AD-7 sp4	2415513	357	8449	39.13	89.21	1.44	2	87.77	Unique	98.25
TARA_PSE_MAG_00026	3973211		6	1.283552207	0.005033229	0	0	0	0.001866628	100	0	0	0	0	0	0	0	100	0	0		Yes					MAG_small_size_fraction	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Arsukibacterium	GCA_002364615.1	3973211	48	122827	48.39	98.59	2.82	1	95.77	Unique	99.93
TARA_SOC_28_MAG_00023	3319885		4	0.10030433	2.86488E-05	0.000168549	0.000586575	0	0.0001725	3.655240928	21.50481208	74.83994699	0	0	3.038982577	0	0	0.738739506	0	96.22227792		Yes					MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Arsukibacterium	GCA_002415085.1	3319885	426	9714	48.67	87.05	0.72	2	86.33	Unique	99.98
TARA_ARC_108_MAG_00192	2480480		22	0.52889356	0.019081509	0.00589394	0.000738788	0.001354262	0.008570873	70.49341484	21.77416536	2.729327638	5.003092168	61.1262018	0.442003283	0	0	0	0	38.43179492							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	ASP10-02a		2480480	196	19717	45.27	74.10	3.60	1	70.50	Unique	
TARA_ARC_108_MAG_00203	2786687		24	3.355916162	0.056463375	0.007078163	0.010042908	0.028032889	0.030893995	55.56470762	6.965507587	9.883065586	27.5867192	45.01814659	0	0	0	0.004821995	0	54.97703141							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	ASP10-02a		2786687	234	18376	44.59	77.70	9.35	1	68.35	Unique	
TARA_ION_MAG_00009	1912389		3	0.055278224	0.000409086	0	0	0	0.000151714	100	0	0	0	0	0	97.91803766	0	2.081962341	0	0		Yes					MAG_small_size_fraction	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	ASP10-02a	UBA7986	1912389	60	57586	44.59	97.18	0.00	1	97.18	Unique	99.41
TARA_AOS_82_MAG_00041	2323617		10	0.377661424	0.00285908	3.78529E-05	0	0.000125554	0.001095774	94.59362845	1.252377436	0	4.153994114	17.29503656	82.70496344	0	0	0	0	0		Yes					MAG_large_size_fractions	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UA16	ASP10-05a	GCA_002336675.1	2323617	94	43495	37.41	89.93	3.60	1	86.33	Unique	99.83
TARA_ARC_108_MAG_00129	2428124		18	1.277972575	0.011875896	0.012931717	0.00267184	0.002968599	0.007920258	39.00379693	42.47140962	8.775076071	9.749717376	99.64512943	0.354870573	0	0	0	0	0							MAG_large_size_fractions	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UA16	ASP10-05a		2428124	459	5656	37.76	86.33	7.19	1	79.14	Unique	
TARA_SOC_28_MAG_00009	2898762		12	0.627021219	0.005486198	0.001825597	0.005201302	0.000474792	0.003636423	42.24087448	14.05614704	40.04732712	3.655651353	8.160652784	0.317395081	0	0	0	0	91.52195214		Yes					MAG_large_size_fractions	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UA16	ASP10-05a	GCA_000981645.1	2898762	138	36730	38.41	97.84	2.16	1	95.68	Cluster_235	99.55
TARA_AOS_82_MAG_00023	1459650	Cyanobacteria	9	0.129843432	0.000602425	0.000117385	3.07133E-05	5.28016E-05	0.000262753	74.9914529	14.61239411	3.823270314	6.572882673	0	70.78828882	2.169843328	6.059692084	1.509709141	19.47246663	0	Yes	Yes	UCYN-A2 	Yes	Cyanobacteria	UCYN-A_bis	MAG_large_size_fractions	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Microcystaceae	Atelocyanobacterium	Atelocyanobacterium thalassa_A	1459650	46	44130	30.72	94.96	2.16	1	92.81	Unique	99.59
TARA_IOS_50_MAG_00026	1422642	Cyanobacteria	11	0.676413533	0.008292661	0	4.41587E-05	0.000167602	0.003124052	97.50999457	0	0.519244508	1.970760924	0	71.14197298	6.396043657	0.335313864	2.74421195	19.38245754	0		Yes	UCYN-A1	Yes	Cyanobacteria	UCYN-A	MAG_large_size_fractions	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Microcystaceae	Atelocyanobacterium	Atelocyanobacterium thalassa	1422642	44	51922	31.05	94.96	0.72	4	94.24	Cluster_71	99.27
TARA_ANE_MAG_00043	1590729		27	0.04320907	0.001763702	0	0	0	0.000654088	100	0	0	0	0	55.75517716	2.167060339	9.305347213	32.77241529	0	0							MAG_small_size_fraction	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	BACL11	BACL11		1590729	198	11275	30.64	85.92	4.23	1	81.69	Unique	
TARA_ANW_MAG_00023	1467503		32	0.303125799	0.003451273	0	2.63049E-05	0	0.0012859	99.24358566	0	0.75641434	0	0	70.28927245	21.66491337	0	8.045814173	0	0		Yes					MAG_small_size_fraction	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	BACL11	BACL11	GCA_002700335.1	1467503	147	13753	30.13	88.73	2.82	1	85.92	Cluster_37	99.72
TARA_ANW_MAG_00042	1263428		27	0.075091725	0.002344519	3.37055E-05	0	0	0.000875294	98.58274535	1.417254646	0	0	2.192767421	72.03031631	0	16.14100416	9.635912107	0	0							MAG_small_size_fraction	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Methylophilaceae	BACL14		1263428	151	11751	31.13	80.28	7.04	1	73.24	Unique	
